                                                                                                    Category       Product Name                                                                                                  Description                                                                                                                                                                                  Uses                                                                                                                                                                             Advantages
                                                                                                  Admixtures         Super P UT                                       High range superplasticiser for workability and integral waterproofing                                                                                  Concrete where 5 to 20% water reduction is desired\nConcrete where normal setting times are required                                                                                                                      Provides better slump retention\nProvides excellent workability\n
                                                                                                  Admixtures           YPC IB20   PCE based superplasticiser for workability and integral waterproofing of concrete for site specific plants                                                                                                         Suitable for site specific project plant\nConcretes which must be easy to lay                                                        Improved workability allowing easier, quicker placing and compaction\nHigher cohesion minimizing risk of segregation & bleeding
                                                                                                  Admixtures            YPC X22                           PCE based superplasticiser for workability and integral waterproofing of concrete                                                                                            Concrete  requiring  long  workability  retention\nHigh performance concrete for durability                                                        Improved workability allowing easier, quicker placing and compaction\nHigher cohesion minimizing risk of segregation & bleeding
                                                                                                  Admixtures            YPC 40X                                                  PCE based superplasticiser for High Grade Precast Concrete                                                                                        Production of precast concrete with high early strength\nPre-stressed & post-stressed concretes                                                                                                            Increased early and ultimate compressive strengths\nNo bleeding in concrete
                                                                                                  Admixtures           YPC RB70                                 PCE based admixture for wide range of Pavement Quality Concrete (PQC) grades                                                                                                                    Suitable for PQC concrete\nTo produce strong and lifetime pavement                              Improved workability allowing easier, quicker placing and compaction.\nImproved quality with denser concrete with reduced porosity and hence more durable
                                                                                                  Admixtures           YPC 120X                                      PCE based superplasticiser for High Grade and Self Compacting Concrete                                                                                                              Production of self compacting concrete\nProduction of high grade concrete                                                                                                            Increased early and ultimate compressive strengths\nNo bleeding in concrete
                                                                                                Accelerators      YP Shotset 30                                         Alkali Free liquid accelerator for sprayed concrete for shotcreting                                                                                                               Tunnel linings and underground excavations\nRock and slope stabilization                                                                                                   Fast setting with high early strength gain\nLow rebound loss for material efficiency
                                                                                             Misc Admixtures        YP Retarder                                                                           Retarding plasticiser for concrete Facilitates extended workability for mass concrete placements, reducing cold joint formation\nDelays setting time in elevated temperatures, allowing adequate placement and finishing               Provides predictable extension of setting time, enhancing scheduling flexibility.​\nEnhances concrete flow without increasing water content, leading to better placement
                                                                                             Misc Admixtures     YP Accelerator                                                    Accelerating admixture to reduce setting time of concrete                                                                   Precast and prestressed concrete requiring high early strength\nCold weather concreting to accelerate strength gain                                                                         Allows for early stripping and re-use of forms.​\nFacilitates faster finishing operations on flatwork surfaces
                                                                                             Misc Admixtures     YP Antiwashout                                                                              Underwater Concrete Stabilizer                                                                        Underwater foundations for bridges and marine structures\nConstruction of breakwaters and coastal installations                                                Prevents segregation and washout, ensuring concrete integrity underwater\nEliminates the need for vibration due to extended workability
                                                                                      Integral Waterproofing      YP Crystal IP                                                 Crystalline waterproofing admixture for mortar and concrete                                                                Waterproofing concrete basements, tanks, and substructures\nSuitable for water-retaining and water-excluding structures                                                                                   Self-heals micro-cracks through crystal growth\nProvides long-term integral waterproofing durability
                                                                                      Integral Waterproofing             YP LW+                                   Integral waterproofing and plasticizing admixture for concrete and mortar                              Waterproofing roof slabs, screeds, basements, and water-retaining structures.​\nEnhancing durability of external plastering, bathrooms, and repair works.                        Improves watertightness and reduces permeability in concrete and mortar.​\nEnhances workability and minimizes shrinkage cracks without increasing water content
                                                                                             Curing Compound     SuperCure X150                                                                     Aluminised synthetic resin-based for PQC                                                                                                  Curing compound for PQC roads and runways\nIdeal for large exposed concrete surfaces                                                                                              Reduces water loss, preventing shrinkage cracks\nImproves surface strength and durability
                                                                                             Curing Compound    SuperCure CC375                            Heat reflective, white pigmented, water-based wax emulsion-based curing compound                                                             Curing large exposed concrete areas like highways and runways.​\nSuitable for canal linings and other expansive surfaces.​                                                                           Reduces plastic cracking and surface dusting.​\nEnsures designed strength attainment and minimizes shrinkage
                                                                                             Curing Compound     SuperCure D120                         Resin-based, white pigmented curing compound with superb water retention efficiency                                                                                                    Curing freshly laid concrete surfaces.​\nSealing and dustproofing floors and walls.                                                                                              Minimizes shrinkage cracks by retaining moisture.​\nCompatible with various over-coatings
                                                                                                      Grouts       YP Grout NS2                                          Free flow, high strength, non-shrink,\ncementitious precision grout                                                 Grouting under base plates of heavy machinery\nAnchoring bolts, rods, and steel inserts\nFilling voids in structural concrete repairs                                                Non-shrink—ensures full contact and load transfer\nHigh early and final compressive strength\nFree-flowing—fills complex gaps with ease
                                                                                                      Grouts      YP Grout NS85 High-flow, dual shrinkage-compensated cementitious grout with rapid strength gain and high ultimate strength              Grouting baseplates and soleplates of large machinery subject to moderate dynamic loads.​\nGrouting precast wall panels, beams, columns, and structural building members Non-metallic dual expansion system compensates for shrinkage in both plastic and hardened states.​\nExcellent initial flow and flow retention suitable for large and small grout pours
                                                                                                      Grouts      YP SmoothCoat                                                Single-component, polymer-modified, cementitious fairing coat                                                                                  Filling surface defects like blowholes and pinholes\nFinishing repaired areas for uniform appearance                                                                                                                             Excellent adhesion to concrete\nSmooth, paint-ready finish
                                                                                                      Grouts      YP Grout EPLV                                                                    High Strength, Low Viscosity Epoxy Grout                                                                       Underplate grouting to substantial structural elements.\nStructural infill where very high strength is required.                                                                                             High compressive, tensile, and flexural strengths.​\nResistant to repetitive dynamic loads
                                                                                                      Grouts        YP Grout MC                                                      General purpose, non-shrink, cementitious microconcrete                                                                                             Structural concrete repairs in congested areas\nJacketing and encasement of columns/beams                                                                                                                       Non-shrink with high strength gain\nFlowable—no vibration needed
                                                                                                      Grouts         YP EGA 100                                                                        Plasticised expanding grout admixture                                                                       Bed and duct grouting for machinery and precast units\nNon-shrink infilling and precision jointing applications    Gaseous expansion compensates for plastic shrinkage and settlement\nProvides the grout with high fluidity at a low water-to-cement ratio, making placement or injection effortless.
