id,name,description,sort_order,is_active
accelerators,Accelerators,Concrete and mortar accelerating admixtures,1,1
admixtures,Admixtures,General concrete and mortar admixtures,2,1
corrosion_inhibitor,Corrosion Inhibitor,Anti-corrosion agents for reinforcement protection,3,1
curing_compound,Curing Compound,Concrete curing and protection compounds,4,1
floor_hardeners,Floor Hardeners,Surface hardening agents for concrete floors,5,1
grouts,Grouts,Specialized grouting compounds and materials,6,1
integral_waterproofing,Integral Waterproofing,Built-in waterproofing admixtures,7,1
mould_release_agent,Mould Release Agent,Form release agents for concrete casting,8,1
misc_admixtures,Misc Admixtures,Miscellaneous concrete admixtures,9,1
structural_bonding,Structural Bonding,Structural adhesives and bonding agents,10,1
others,Others,Other specialized chemical products,11,1
concrete_chemicals,Concrete Chemicals,General concrete chemical solutions,12,1
